County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Boone,RA-015-2010,512,808.58,38.98,-84.69,cut profile,,With Gravel,A-6,(11),CL,LEAN CLAY with SAND,107.10,16.00,T99A,5.50,35.41,20.37,15.00,0.27,2.71,100.00,100.00,100.00,100.00,100.00,99.42,98.17,92.21,79.28,31.39,25.94
Boone,RA-015-2010,513,877.26,38.99,-84.69,cut profile,,With Gravel,A-7-6,(16),CL,LEAN CLAY with SAND,104.20,19.00,T99A,3.70,41.13,21.98,19.00,-0.05,2.68,100.00,100.00,100.00,98.97,96.91,95.89,94.39,90.12,83.86,32.48,27.17
Boone,RA-015-2010,513,877.26,38.99,-84.69,cut profile,,,A-6,(13),CL,LEAN CLAY with SAND,114.10,12.90,T99C,9.70,35.83,18.83,17.00,-0.46,2.73,100.00,100.00,100.00,100.00,98.84,96.94,94.97,88.53,79.83,32.07,26.83
Boone,RA-015-2010,514,864.13,38.99,-84.69,cut profile,,No Gravel,A-7-6,(27),CL,LEAN CLAY,102.60,20.70,T99A,1.80,44.94,17.46,28.00,0.14,2.77,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.45,92.23,47.47,43.65
Boone,RA-015-2010,518,851.55,39.00,-84.70,cut profile,,With Gravel,A-6,(6),CL,SANDY LEAN CLAY,113.40,14.10,T99C,2.50,31.82,16.55,15.00,0.16,2.54,100.00,100.00,100.00,100.00,94.68,88.11,78.32,67.90,60.22,18.65,14.30
Boone,RA-015-2010,518,851.55,39.00,-84.70,cut profile,2,No Gravel,A-7-6,(28),CH,FAT CLAY with SAND,104.60,19.80,T99A,1.60,51.65,19.47,33.00,0.02,2.74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,94.35,82.49,41.69,37.98
Bourbon,R-014-2010,11,822.48,38.20,-84.27,fill profile,,With Gravel,A-7-6,(14),CL,SANDY LEAN CLAY,111.10,17.70,T99C,4.20,44.84,23.90,21.00,0.05,2.54,100.00,100.00,100.00,100.00,96.71,93.50,86.92,76.38,68.85,32.48,27.20
Bourbon,R-014-2010,14,834.89,38.20,-84.27,cut profile,,No Gravel,A-6,(15),CL,LEAN CLAY,105.50,18.60,T99A,8.30,38.84,22.27,17.00,0.07,2.72,100.00,100.00,100.00,100.00,100.00,100.00,100.00,91.93,88.03,30.08,21.48
Bourbon,R-014-2010,17,834.17,38.21,-84.27,cut profile,,No Gravel,A-7-6,(17),CL,LEAN CLAY,107.40,13.70,T99A,3.50,41.04,23.19,18.00,-0.15,2.72,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.60,87.83,35.62,28.41
Bourbon,R-014-2010,2,884.17,38.19,-84.27,cut profile,,No Gravel,A-7-6,(24),CL,LEAN CLAY,101.20,16.50,T99A,3.40,48.00,21.78,26.00,0.26,2.70,100.00,100.00,100.00,100.00,100.00,100.00,100.00,92.89,87.26,44.54,37.95
Bourbon,R-014-2010,21,843.91,38.21,-84.27,fill profile,,With Gravel,A-7-6,(17),CL,LEAN CLAY with SAND,96.91,19.90,T99A,6.60,47.94,26.87,21.00,-0.21,2.77,100.00,100.00,100.00,100.00,97.48,94.93,90.61,83.39,77.06,34.08,28.86
Bourbon,R-014-2010,28,866.06,38.21,-84.25,cut profile,,With Gravel,A-7-6,(16),CH,SANDY FAT CLAY,100.50,22.10,T99C,4.70,50.24,23.63,26.00,0.24,2.77,100.00,100.00,93.61,89.92,87.82,85.55,83.28,77.08,67.17,34.12,27.72
Bourbon,R-014-2010,32,827.68,38.22,-84.27,fill profile,,With Gravel,A-7-6,(21),CL,LEAN CLAY with SAND,98.60,23.30,T99A,3.20,47.54,23.22,25.00,0.16,2.53,100.00,100.00,100.00,100.00,99.03,97.64,94.67,87.62,81.48,40.10,35.15
